id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
7330,CDS,cde_fo,JPYINR,10392,OPTCUR,PE,58,JPYINR10MARCH2358PE,JPYINR2331058PE,JPYINR 10MAR23 58 PE,10-03-2023,1,0.0025
7331,CDS,cde_fo,JPYINR,10393,OPTCUR,CE,58.25,JPYINR10MARCH2358.25CE,JPYINR2331058.25CE,JPYINR 10MAR23 58.25 CE,10-03-2023,1,0.0025
7332,CDS,cde_fo,JPYINR,10394,OPTCUR,PE,58.25,JPYINR10MARCH2358.25PE,JPYINR2331058.25PE,JPYINR 10MAR23 58.25 PE,10-03-2023,1,0.0025
7333,CDS,cde_fo,JPYINR,10395,OPTCUR,CE,58.5,JPYINR10MARCH2358.5CE,JPYINR2331058.5CE,JPYINR 10MAR23 58.5 CE,10-03-2023,1,0.0025
7334,CDS,cde_fo,JPYINR,10396,OPTCUR,PE,58.5,JPYINR10MARCH2358.5PE,JPYINR2331058.5PE,JPYINR 10MAR23 58.5 PE,10-03-2023,1,0.0025
7335,CDS,cde_fo,JPYINR,10397,OPTCUR,CE,58.75,JPYINR10MARCH2358.75CE,JPYINR2331058.75CE,JPYINR 10MAR23 58.75 CE,10-03-2023,1,0.0025
7336,CDS,cde_fo,JPYINR,10398,OPTCUR,PE,58.75,JPYINR10MARCH2358.75PE,JPYINR2331058.75PE,JPYINR 10MAR23 58.75 PE,10-03-2023,1,0.0025
7337,CDS,cde_fo,JPYINR,10399,OPTCUR,CE,59,JPYINR10MARCH2359CE,JPYINR2331059CE,JPYINR 10MAR23 59 CE,10-03-2023,1,0.0025
7338,CDS,cde_fo,GBPUSD,10400,OPTCUR,CE,1.25,GBPUSD27JANUARY231.25CE,GBPUSD23JAN1.25CE,GBPUSD 27JAN23 1.25 CE,27-01-2023,1,0.0001
7339,CDS,cde_fo,GBPUSD,10401,OPTCUR,PE,1.25,GBPUSD27JANUARY231.25PE,GBPUSD23JAN1.25PE,GBPUSD 27JAN23 1.25 PE,27-01-2023,1,0.0001
7340,CDS,cde_fo,JPYINR,10402,OPTCUR,PE,59,JPYINR10MARCH2359PE,JPYINR2331059PE,JPYINR 10MAR23 59 PE,10-03-2023,1,0.0025
7341,CDS,cde_fo,JPYINR,10403,OPTCUR,CE,59.25,JPYINR10MARCH2359.25CE,JPYINR2331059.25CE,JPYINR 10MAR23 59.25 CE,10-03-2023,1,0.0025
7342,CDS,cde_fo,JPYINR,10404,OPTCUR,PE,59.25,JPYINR10MARCH2359.25PE,JPYINR2331059.25PE,JPYINR 10MAR23 59.25 PE,10-03-2023,1,0.0025
7343,CDS,cde_fo,JPYINR,10405,OPTCUR,CE,59.5,JPYINR10MARCH2359.5CE,JPYINR2331059.5CE,JPYINR 10MAR23 59.5 CE,10-03-2023,1,0.0025
7344,CDS,cde_fo,JPYINR,10406,OPTCUR,PE,59.5,JPYINR10MARCH2359.5PE,JPYINR2331059.5PE,JPYINR 10MAR23 59.5 PE,10-03-2023,1,0.0025
7345,CDS,cde_fo,JPYINR,10407,OPTCUR,CE,59.75,JPYINR10MARCH2359.75CE,JPYINR2331059.75CE,JPYINR 10MAR23 59.75 CE,10-03-2023,1,0.0025
